Issue Key,Summary,Description,Assignee,Reporter,Issue Type,Priority,Status,Component,Created,Due Date,Days to Complete,Created_Month,Created_Day_of_Week,Due_Month,summary_cleaned,description_cleaned,combined_text,summary_lemmatized,description_lemmatized,combined_lemmatized,summary_word_count,description_word_count,combined_word_count,summary_processed,summary_stemmed,summary_tokens,description_processed,description_stemmed,description_tokens
SWP-1,User Authentication Failure,"Users unable to log in due to OAuth 2.0 token refresh failure, causing session timeouts.",Bob,Heidi,Bug,High,In Progress,Authentication,2025-11-06,2025-06-25,-134,11,3,6,user authentication failure,users unable to log in due to oauth token refresh failure causing session timeouts,user authentication failure users unable to log in due to oauth token refresh failure causing session timeouts,user authentication failure,user unable log due oauth token refresh failure cause session timeouts,user authentication failure user unable log due oauth token refresh failure cause session timeouts,3,14,17,"{'cleaned_text': 'user authentication failure', 'tokens': ['user', 'authentication', 'failure'], 'filtered_tokens': ['user', 'authentication', 'failure'], 'stemmed_tokens': ['user', 'authent', 'failur'], 'lemmatized_tokens': ['user', 'authentication', 'failure'], 'processed_text_stem': 'user authent failur', 'processed_text_lemma': 'user authentication failure'}",user authent failur,"['user', 'authentication', 'failure']","{'cleaned_text': 'users unable to log in due to oauth token refresh failure causing session timeouts', 'tokens': ['users', 'unable', 'to', 'log', 'in', 'due', 'to', 'oauth', 'token', 'refresh', 'failure', 'causing', 'session', 'timeouts'], 'filtered_tokens': ['users', 'unable', 'log', 'due', 'oauth', 'token', 'refresh', 'failure', 'causing', 'session', 'timeouts'], 'stemmed_tokens': ['user', 'unabl', 'log', 'due', 'oauth', 'token', 'refresh', 'failur', 'caus', 'session', 'timeout'], 'lemmatized_tokens': ['user', 'unable', 'log', 'due', 'oauth', 'token', 'refresh', 'failure', 'cause', 'session', 'timeouts'], 'processed_text_stem': 'user unabl log due oauth token refresh failur caus session timeout', 'processed_text_lemma': 'user unable log due oauth token refresh failure cause session timeouts'}",user unabl log due oauth token refresh failur caus session timeout,"['users', 'unable', 'to', 'log', 'in', 'due', 'to', 'oauth', 'token', 'refresh', 'failure', 'causing', 'session', 'timeouts']"
SWP-2,Payment Gateway Transaction Error,"Stripe payments intermittently fail with 500 errors during webhook processing, causing order delays.",Eve,Grace,Bug,High,Open,Payment Processing,2025-05-07,2025-07-16,70,5,2,7,payment gateway transaction error,stripe payments intermittently fail with errors during webhook processing causing order delays,payment gateway transaction error stripe payments intermittently fail with errors during webhook processing causing order delays,payment gateway transaction error,stripe payment intermittently fail error webhook process cause order delay,payment gateway transaction error stripe payment intermittently fail error webhook process cause order delay,4,12,16,"{'cleaned_text': 'payment gateway transaction error', 'tokens': ['payment', 'gateway', 'transaction', 'error'], 'filtered_tokens': ['payment', 'gateway', 'transaction', 'error'], 'stemmed_tokens': ['payment', 'gateway', 'transact', 'error'], 'lemmatized_tokens': ['payment', 'gateway', 'transaction', 'error'], 'processed_text_stem': 'payment gateway transact error', 'processed_text_lemma': 'payment gateway transaction error'}",payment gateway transact error,"['payment', 'gateway', 'transaction', 'error']","{'cleaned_text': 'stripe payments intermittently fail with errors during webhook processing causing order delays', 'tokens': ['stripe', 'payments', 'intermittently', 'fail', 'with', 'errors', 'during', 'webhook', 'processing', 'causing', 'order', 'delays'], 'filtered_tokens': ['stripe', 'payments', 'intermittently', 'fail', 'errors', 'webhook', 'processing', 'causing', 'order', 'delays'], 'stemmed_tokens': ['stripe', 'payment', 'intermitt', 'fail', 'error', 'webhook', 'process', 'caus', 'order', 'delay'], 'lemmatized_tokens': ['stripe', 'payment', 'intermittently', 'fail', 'error', 'webhook', 'process', 'cause', 'order', 'delay'], 'processed_text_stem': 'stripe payment intermitt fail error webhook process caus order delay', 'processed_text_lemma': 'stripe payment intermittently fail error webhook process cause order delay'}",stripe payment intermitt fail error webhook process caus order delay,"['stripe', 'payments', 'intermittently', 'fail', 'with', 'errors', 'during', 'webhook', 'processing', 'causing', 'order', 'delays']"
SWP-3,Database Migration Tool,Create automated database migration scripts to transition from MySQL to PostgreSQL with data integrity validation and rollback capabilities.,Bob,Judy,Task,High,Done,Database,2025-02-06,2025-10-06,242,2,3,10,database migration tool,create automated database migration scripts to transition from mysql to postgresql with data integrity validation and rollback capabilities,database migration tool create automated database migration scripts to transition from mysql to postgresql with data integrity validation and rollback capabilities,database migration tool,create automate database migration script transition mysql postgresql data integrity validation rollback capability,database migration tool create automate database migration script transition mysql postgresql data integrity validation rollback capability,3,18,21,"{'cleaned_text': 'database migration tool', 'tokens': ['database', 'migration', 'tool'], 'filtered_tokens': ['database', 'migration', 'tool'], 'stemmed_tokens': ['databas', 'migrat', 'tool'], 'lemmatized_tokens': ['database', 'migration', 'tool'], 'processed_text_stem': 'databas migrat tool', 'processed_text_lemma': 'database migration tool'}",databas migrat tool,"['database', 'migration', 'tool']","{'cleaned_text': 'create automated database migration scripts to transition from mysql to postgresql with data integrity validation and rollback capabilities', 'tokens': ['create', 'automated', 'database', 'migration', 'scripts', 'to', 'transition', 'from', 'mysql', 'to', 'postgresql', 'with', 'data', 'integrity', 'validation', 'and', 'rollback', 'capabilities'], 'filtered_tokens': ['create', 'automated', 'database', 'migration', 'scripts', 'transition', 'mysql', 'postgresql', 'data', 'integrity', 'validation', 'rollback', 'capabilities'], 'stemmed_tokens': ['creat', 'autom', 'databas', 'migrat', 'script', 'transit', 'mysql', 'postgresql', 'data', 'integr', 'valid', 'rollback', 'capabl'], 'lemmatized_tokens': ['create', 'automate', 'database', 'migration', 'script', 'transition', 'mysql', 'postgresql', 'data', 'integrity', 'validation', 'rollback', 'capability'], 'processed_text_stem': 'creat autom databas migrat script transit mysql postgresql data integr valid rollback capabl', 'processed_text_lemma': 'create automate database migration script transition mysql postgresql data integrity validation rollback capability'}",creat autom databas migrat script transit mysql postgresql data integr valid rollback capabl,"['create', 'automated', 'database', 'migration', 'scripts', 'to', 'transition', 'from', 'mysql', 'to', 'postgresql', 'with', 'data', 'integrity', 'validation', 'and', 'rollback', 'capabilities']"
SWP-4,Push Notification Delivery Issue,Push notifications not delivered to iOS devices due to incorrect APNs certificate configuration.,Eve,Ivan,Bug,Medium,In Progress,Notifications,2025-06-23,2025-08-07,45,6,0,8,push notification delivery issue,push notifications not delivered to ios devices due to incorrect apns certificate configuration,push notification delivery issue push notifications not delivered to ios devices due to incorrect apns certificate configuration,push notification delivery issue,push notification deliver io device due incorrect apns certificate configuration,push notification delivery issue push notification deliver io device due incorrect apns certificate configuration,4,13,17,"{'cleaned_text': 'push notification delivery issue', 'tokens': ['push', 'notification', 'delivery', 'issue'], 'filtered_tokens': ['push', 'notification', 'delivery', 'issue'], 'stemmed_tokens': ['push', 'notif', 'deliveri', 'issu'], 'lemmatized_tokens': ['push', 'notification', 'delivery', 'issue'], 'processed_text_stem': 'push notif deliveri issu', 'processed_text_lemma': 'push notification delivery issue'}",push notif deliveri issu,"['push', 'notification', 'delivery', 'issue']","{'cleaned_text': 'push notifications not delivered to ios devices due to incorrect apns certificate configuration', 'tokens': ['push', 'notifications', 'not', 'delivered', 'to', 'ios', 'devices', 'due', 'to', 'incorrect', 'apns', 'certificate', 'configuration'], 'filtered_tokens': ['push', 'notifications', 'delivered', 'ios', 'devices', 'due', 'incorrect', 'apns', 'certificate', 'configuration'], 'stemmed_tokens': ['push', 'notif', 'deliv', 'io', 'devic', 'due', 'incorrect', 'apn', 'certif', 'configur'], 'lemmatized_tokens': ['push', 'notification', 'deliver', 'io', 'device', 'due', 'incorrect', 'apns', 'certificate', 'configuration'], 'processed_text_stem': 'push notif deliv io devic due incorrect apn certif configur', 'processed_text_lemma': 'push notification deliver io device due incorrect apns certificate configuration'}",push notif deliv io devic due incorrect apn certif configur,"['push', 'notifications', 'not', 'delivered', 'to', 'ios', 'devices', 'due', 'to', 'incorrect', 'apns', 'certificate', 'configuration']"
SWP-5,API Rate Limiting Implementation,"Build robust API rate limiting system with Redis backend, dynamic throttling, and detailed analytics for enterprise applications.",Frank,Ivan,Task,High,In Progress,API,2025-04-06,2025-06-16,71,4,6,6,api rate limiting implementation,build robust api rate limiting system with redis backend dynamic throttling and detailed analytics for enterprise applications,api rate limiting implementation build robust api rate limiting system with redis backend dynamic throttling and detailed analytics for enterprise applications,api rate limit implementation,build robust api rate limit system redis backend dynamic throttling detailed analytics enterprise application,api rate limit implementation build robust api rate limit system redis backend dynamic throttling detailed analytics enterprise application,4,17,21,"{'cleaned_text': 'api rate limiting implementation', 'tokens': ['api', 'rate', 'limiting', 'implementation'], 'filtered_tokens': ['api', 'rate', 'limiting', 'implementation'], 'stemmed_tokens': ['api', 'rate', 'limit', 'implement'], 'lemmatized_tokens': ['api', 'rate', 'limit', 'implementation'], 'processed_text_stem': 'api rate limit implement', 'processed_text_lemma': 'api rate limit implementation'}",api rate limit implement,"['api', 'rate', 'limiting', 'implementation']","{'cleaned_text': 'build robust api rate limiting system with redis backend dynamic throttling and detailed analytics for enterprise applications', 'tokens': ['build', 'robust', 'api', 'rate', 'limiting', 'system', 'with', 'redis', 'backend', 'dynamic', 'throttling', 'and', 'detailed', 'analytics', 'for', 'enterprise', 'applications'], 'filtered_tokens': ['build', 'robust', 'api', 'rate', 'limiting', 'system', 'redis', 'backend', 'dynamic', 'throttling', 'detailed', 'analytics', 'enterprise', 'applications'], 'stemmed_tokens': ['build', 'robust', 'api', 'rate', 'limit', 'system', 'redi', 'backend', 'dynam', 'throttl', 'detail', 'analyt', 'enterpris', 'applic'], 'lemmatized_tokens': ['build', 'robust', 'api', 'rate', 'limit', 'system', 'redis', 'backend', 'dynamic', 'throttling', 'detailed', 'analytics', 'enterprise', 'application'], 'processed_text_stem': 'build robust api rate limit system redi backend dynam throttl detail analyt enterpris applic', 'processed_text_lemma': 'build robust api rate limit system redis backend dynamic throttling detailed analytics enterprise application'}",build robust api rate limit system redi backend dynam throttl detail analyt enterpris applic,"['build', 'robust', 'api', 'rate', 'limiting', 'system', 'with', 'redis', 'backend', 'dynamic', 'throttling', 'and', 'detailed', 'analytics', 'for', 'enterprise', 'applications']"
SWP-6,Chatbot Response Error,Customer support chatbot fails to escalate tickets to human agents when keywords are misparsed.,Bob,Grace,Bug,Medium,Open,Chat System,2025-02-06,2025-11-06,273,2,3,11,chatbot response error,customer support chatbot fails to escalate tickets to human agents when keywords are misparsed,chatbot response error customer support chatbot fails to escalate tickets to human agents when keywords are misparsed,chatbot response error,customer support chatbot fail escalate ticket human agent keywords misparsed,chatbot response error customer support chatbot fail escalate ticket human agent keywords misparsed,3,14,17,"{'cleaned_text': 'chatbot response error', 'tokens': ['chatbot', 'response', 'error'], 'filtered_tokens': ['chatbot', 'response', 'error'], 'stemmed_tokens': ['chatbot', 'respons', 'error'], 'lemmatized_tokens': ['chatbot', 'response', 'error'], 'processed_text_stem': 'chatbot respons error', 'processed_text_lemma': 'chatbot response error'}",chatbot respons error,"['chatbot', 'response', 'error']","{'cleaned_text': 'customer support chatbot fails to escalate tickets to human agents when keywords are misparsed', 'tokens': ['customer', 'support', 'chatbot', 'fails', 'to', 'escalate', 'tickets', 'to', 'human', 'agents', 'when', 'keywords', 'are', 'misparsed'], 'filtered_tokens': ['customer', 'support', 'chatbot', 'fails', 'escalate', 'tickets', 'human', 'agents', 'keywords', 'misparsed'], 'stemmed_tokens': ['custom', 'support', 'chatbot', 'fail', 'escal', 'ticket', 'human', 'agent', 'keyword', 'mispars'], 'lemmatized_tokens': ['customer', 'support', 'chatbot', 'fail', 'escalate', 'ticket', 'human', 'agent', 'keywords', 'misparsed'], 'processed_text_stem': 'custom support chatbot fail escal ticket human agent keyword mispars', 'processed_text_lemma': 'customer support chatbot fail escalate ticket human agent keywords misparsed'}",custom support chatbot fail escal ticket human agent keyword mispars,"['customer', 'support', 'chatbot', 'fails', 'to', 'escalate', 'tickets', 'to', 'human', 'agents', 'when', 'keywords', 'are', 'misparsed']"
SWP-7,CMS Content Loss,"Headless CMS loses draft content during version control sync, affecting multi-language pages.",Frank,Grace,Bug,High,In Progress,Content Management,2025-05-16,2025-05-28,12,5,4,5,cms content loss,headless cms loses draft content during version control sync affecting multilanguage pages,cms content loss headless cms loses draft content during version control sync affecting multilanguage pages,cm content loss,headless cm lose draft content version control sync affect multilanguage page,cm content loss headless cm lose draft content version control sync affect multilanguage page,3,12,15,"{'cleaned_text': 'cms content loss', 'tokens': ['cms', 'content', 'loss'], 'filtered_tokens': ['cms', 'content', 'loss'], 'stemmed_tokens': ['cm', 'content', 'loss'], 'lemmatized_tokens': ['cm', 'content', 'loss'], 'processed_text_stem': 'cm content loss', 'processed_text_lemma': 'cm content loss'}",cm content loss,"['cms', 'content', 'loss']","{'cleaned_text': 'headless cms loses draft content during version control sync affecting multilanguage pages', 'tokens': ['headless', 'cms', 'loses', 'draft', 'content', 'during', 'version', 'control', 'sync', 'affecting', 'multilanguage', 'pages'], 'filtered_tokens': ['headless', 'cms', 'loses', 'draft', 'content', 'version', 'control', 'sync', 'affecting', 'multilanguage', 'pages'], 'stemmed_tokens': ['headless', 'cm', 'lose', 'draft', 'content', 'version', 'control', 'sync', 'affect', 'multilanguag', 'page'], 'lemmatized_tokens': ['headless', 'cm', 'lose', 'draft', 'content', 'version', 'control', 'sync', 'affect', 'multilanguage', 'page'], 'processed_text_stem': 'headless cm lose draft content version control sync affect multilanguag page', 'processed_text_lemma': 'headless cm lose draft content version control sync affect multilanguage page'}",headless cm lose draft content version control sync affect multilanguag page,"['headless', 'cms', 'loses', 'draft', 'content', 'during', 'version', 'control', 'sync', 'affecting', 'multilanguage', 'pages']"
SWP-8,Data Analytics Dashboard,"Create interactive business intelligence dashboard with real-time metrics, custom reports, and data visualization components.",Frank,Heidi,Story,Medium,In Progress,Analytics,2025-06-06,2025-06-19,13,6,4,6,data analytics dashboard,create interactive business intelligence dashboard with realtime metrics custom reports and data visualization components,data analytics dashboard create interactive business intelligence dashboard with realtime metrics custom reports and data visualization components,data analytics dashboard,create interactive business intelligence dashboard realtime metric custom report data visualization component,data analytics dashboard create interactive business intelligence dashboard realtime metric custom report data visualization component,3,14,17,"{'cleaned_text': 'data analytics dashboard', 'tokens': ['data', 'analytics', 'dashboard'], 'filtered_tokens': ['data', 'analytics', 'dashboard'], 'stemmed_tokens': ['data', 'analyt', 'dashboard'], 'lemmatized_tokens': ['data', 'analytics', 'dashboard'], 'processed_text_stem': 'data analyt dashboard', 'processed_text_lemma': 'data analytics dashboard'}",data analyt dashboard,"['data', 'analytics', 'dashboard']","{'cleaned_text': 'create interactive business intelligence dashboard with realtime metrics custom reports and data visualization components', 'tokens': ['create', 'interactive', 'business', 'intelligence', 'dashboard', 'with', 'realtime', 'metrics', 'custom', 'reports', 'and', 'data', 'visualization', 'components'], 'filtered_tokens': ['create', 'interactive', 'business', 'intelligence', 'dashboard', 'realtime', 'metrics', 'custom', 'reports', 'data', 'visualization', 'components'], 'stemmed_tokens': ['creat', 'interact', 'busi', 'intellig', 'dashboard', 'realtim', 'metric', 'custom', 'report', 'data', 'visual', 'compon'], 'lemmatized_tokens': ['create', 'interactive', 'business', 'intelligence', 'dashboard', 'realtime', 'metric', 'custom', 'report', 'data', 'visualization', 'component'], 'processed_text_stem': 'creat interact busi intellig dashboard realtim metric custom report data visual compon', 'processed_text_lemma': 'create interactive business intelligence dashboard realtime metric custom report data visualization component'}",creat interact busi intellig dashboard realtim metric custom report data visual compon,"['create', 'interactive', 'business', 'intelligence', 'dashboard', 'with', 'realtime', 'metrics', 'custom', 'reports', 'and', 'data', 'visualization', 'components']"
SWP-9,Inventory System Stock Mismatch,Warehouse inventory shows incorrect stock levels due to barcode scanner sync failures.,Eve,Ivan,Bug,High,Open,Inventory Management,2025-05-30,2025-05-06,-24,5,4,5,inventory system stock mismatch,warehouse inventory shows incorrect stock levels due to barcode scanner sync failures,inventory system stock mismatch warehouse inventory shows incorrect stock levels due to barcode scanner sync failures,inventory system stock mismatch,warehouse inventory show incorrect stock level due barcode scanner sync failure,inventory system stock mismatch warehouse inventory show incorrect stock level due barcode scanner sync failure,4,12,16,"{'cleaned_text': 'inventory system stock mismatch', 'tokens': ['inventory', 'system', 'stock', 'mismatch'], 'filtered_tokens': ['inventory', 'system', 'stock', 'mismatch'], 'stemmed_tokens': ['inventori', 'system', 'stock', 'mismatch'], 'lemmatized_tokens': ['inventory', 'system', 'stock', 'mismatch'], 'processed_text_stem': 'inventori system stock mismatch', 'processed_text_lemma': 'inventory system stock mismatch'}",inventori system stock mismatch,"['inventory', 'system', 'stock', 'mismatch']","{'cleaned_text': 'warehouse inventory shows incorrect stock levels due to barcode scanner sync failures', 'tokens': ['warehouse', 'inventory', 'shows', 'incorrect', 'stock', 'levels', 'due', 'to', 'barcode', 'scanner', 'sync', 'failures'], 'filtered_tokens': ['warehouse', 'inventory', 'shows', 'incorrect', 'stock', 'levels', 'due', 'barcode', 'scanner', 'sync', 'failures'], 'stemmed_tokens': ['warehous', 'inventori', 'show', 'incorrect', 'stock', 'level', 'due', 'barcod', 'scanner', 'sync', 'failur'], 'lemmatized_tokens': ['warehouse', 'inventory', 'show', 'incorrect', 'stock', 'level', 'due', 'barcode', 'scanner', 'sync', 'failure'], 'processed_text_stem': 'warehous inventori show incorrect stock level due barcod scanner sync failur', 'processed_text_lemma': 'warehouse inventory show incorrect stock level due barcode scanner sync failure'}",warehous inventori show incorrect stock level due barcod scanner sync failur,"['warehouse', 'inventory', 'shows', 'incorrect', 'stock', 'levels', 'due', 'to', 'barcode', 'scanner', 'sync', 'failures']"
SWP-10,Email Campaign Delivery Failure,Email campaigns not delivered to Gmail users due to SPF record misconfiguration.,Eve,Ivan,Bug,Medium,In Progress,Email Marketing,2025-05-07,2025-07-19,73,5,2,7,email campaign delivery failure,email campaigns not delivered to gmail users due to spf record misconfiguration,email campaign delivery failure email campaigns not delivered to gmail users due to spf record misconfiguration,email campaign delivery failure,email campaign deliver gmail user due spf record misconfiguration,email campaign delivery failure email campaign deliver gmail user due spf record misconfiguration,4,12,16,"{'cleaned_text': 'email campaign delivery failure', 'tokens': ['email', 'campaign', 'delivery', 'failure'], 'filtered_tokens': ['email', 'campaign', 'delivery', 'failure'], 'stemmed_tokens': ['email', 'campaign', 'deliveri', 'failur'], 'lemmatized_tokens': ['email', 'campaign', 'delivery', 'failure'], 'processed_text_stem': 'email campaign deliveri failur', 'processed_text_lemma': 'email campaign delivery failure'}",email campaign deliveri failur,"['email', 'campaign', 'delivery', 'failure']","{'cleaned_text': 'email campaigns not delivered to gmail users due to spf record misconfiguration', 'tokens': ['email', 'campaigns', 'not', 'delivered', 'to', 'gmail', 'users', 'due', 'to', 'spf', 'record', 'misconfiguration'], 'filtered_tokens': ['email', 'campaigns', 'delivered', 'gmail', 'users', 'due', 'spf', 'record', 'misconfiguration'], 'stemmed_tokens': ['email', 'campaign', 'deliv', 'gmail', 'user', 'due', 'spf', 'record', 'misconfigur'], 'lemmatized_tokens': ['email', 'campaign', 'deliver', 'gmail', 'user', 'due', 'spf', 'record', 'misconfiguration'], 'processed_text_stem': 'email campaign deliv gmail user due spf record misconfigur', 'processed_text_lemma': 'email campaign deliver gmail user due spf record misconfiguration'}",email campaign deliv gmail user due spf record misconfigur,"['email', 'campaigns', 'not', 'delivered', 'to', 'gmail', 'users', 'due', 'to', 'spf', 'record', 'misconfiguration']"
