Issue Key,Summary,Description,Assignee,Reporter,Issue Type,Priority,Status,Component,Created,Due Date,Days to Complete,Created_Month,Created_Day_of_Week,Due_Month,summary_cleaned,description_cleaned,combined_text,summary_lemmatized,description_lemmatized,combined_lemmatized,summary_word_count,description_word_count,combined_word_count
SWP-1,User Authentication Failure,"Users unable to log in due to OAuth 2.0 token refresh failure, causing session timeouts.",Bob,Heidi,Bug,High,In Progress,Authentication,11-06-2025,25-06-2025,14,6,2,6,user authentication failure,users unable to log in due to oauth token refresh failure causing session timeouts,user authentication failure users unable to log in due to oauth token refresh failure causing session timeouts,authentication failure,log oauth token refresh failure cause session timeouts,authentication failure log oauth token refresh failure cause session timeouts,3,14,17
SWP-2,Payment Gateway Transaction Error,"Stripe payments intermittently fail with 500 errors during webhook processing, causing order delays.",Eve,Grace,Bug,High,Open,Payment Processing,05-07-2025,16-07-2025,11,7,5,7,payment gateway transaction error,stripe payments intermittently fail with errors during webhook processing causing order delays,payment gateway transaction error stripe payments intermittently fail with errors during webhook processing causing order delays,payment gateway transaction error,stripe payment intermittently fail error webhook cause order delay,payment gateway transaction error stripe payment intermittently fail error webhook cause order delay,4,12,16
SWP-3,Database Migration Tool,Create automated database migration scripts to transition from MySQL to PostgreSQL with data integrity validation and rollback capabilities.,Bob,Judy,Task,High,Done,Database,02-06-2025,10-06-2025,8,6,0,6,database migration tool,create automated database migration scripts to transition from mysql to postgresql with data integrity validation and rollback capabilities,database migration tool create automated database migration scripts to transition from mysql to postgresql with data integrity validation and rollback capabilities,migration,automate migration script transition mysql postgresql integrity rollback capability,migration automate migration script transition mysql postgresql integrity rollback capability,3,18,21
SWP-4,Push Notification Delivery Issue,Push notifications not delivered to iOS devices due to incorrect APNs certificate configuration.,Eve,Ivan,Bug,Medium,In Progress,Notifications,23-06-2025,08-07-2025,15,6,0,7,push notification delivery issue,push notifications not delivered to ios devices due to incorrect apns certificate configuration,push notification delivery issue push notifications not delivered to ios devices due to incorrect apns certificate configuration,push delivery,push deliver device incorrect apns certificate,push delivery push deliver device incorrect apns certificate,4,13,17
SWP-5,API Rate Limiting Implementation,"Build robust API rate limiting system with Redis backend, dynamic throttling, and detailed analytics for enterprise applications.",Frank,Ivan,Task,High,In Progress,API,04-06-2025,16-06-2025,12,6,2,6,api rate limiting implementation,build robust api rate limiting system with redis backend dynamic throttling and detailed analytics for enterprise applications,api rate limiting implementation build robust api rate limiting system with redis backend dynamic throttling and detailed analytics for enterprise applications,rate limiting,robust rate limit redis backend dynamic throttling detailed analytics enterprise,rate limiting robust rate limit redis backend dynamic throttling detailed analytics enterprise,4,17,21
SWP-6,Chatbot Response Error,Customer support chatbot fails to escalate tickets to human agents when keywords are misparsed.,Bob,Grace,Bug,Medium,Open,Chat System,02-06-2025,11-06-2025,9,6,0,6,chatbot response error,customer support chatbot fails to escalate tickets to human agents when keywords are misparsed,chatbot response error customer support chatbot fails to escalate tickets to human agents when keywords are misparsed,chatbot response error,support chatbot fail escalate human agent keywords misparsed,chatbot response error support chatbot fail escalate human agent keywords misparsed,3,14,17
SWP-7,CMS Content Loss,"Headless CMS loses draft content during version control sync, affecting multi-language pages.",Frank,Grace,Bug,High,In Progress,Content Management,16-05-2025,28-05-2025,12,5,4,5,cms content loss,headless cms loses draft content during version control sync affecting multilanguage pages,cms content loss headless cms loses draft content during version control sync affecting multilanguage pages,content loss,headless lose draft content version control sync affect multilanguage,content loss headless lose draft content version control sync affect multilanguage,3,12,15
SWP-8,Data Analytics Dashboard,"Create interactive business intelligence dashboard with real-time metrics, custom reports, and data visualization components.",Frank,Heidi,Story,Medium,In Progress,Analytics,06-06-2025,19-06-2025,13,6,4,6,data analytics dashboard,create interactive business intelligence dashboard with realtime metrics custom reports and data visualization components,data analytics dashboard create interactive business intelligence dashboard with realtime metrics custom reports and data visualization components,analytics dashboard,interactive intelligence dashboard realtime metric custom visualization,analytics dashboard interactive intelligence dashboard realtime metric custom visualization,3,14,17
SWP-9,Inventory System Stock Mismatch,Warehouse inventory shows incorrect stock levels due to barcode scanner sync failures.,Eve,Ivan,Bug,High,Open,Inventory Management,30-05-2025,05-06-2025,6,5,4,6,inventory system stock mismatch,warehouse inventory shows incorrect stock levels due to barcode scanner sync failures,inventory system stock mismatch warehouse inventory shows incorrect stock levels due to barcode scanner sync failures,inventory stock mismatch,warehouse inventory show incorrect stock level barcode scanner sync failure,inventory stock mismatch warehouse inventory show incorrect stock level barcode scanner sync failure,4,12,16
SWP-10,Email Campaign Delivery Failure,Email campaigns not delivered to Gmail users due to SPF record misconfiguration.,Eve,Ivan,Bug,Medium,In Progress,Email Marketing,05-07-2025,19-07-2025,14,7,5,7,email campaign delivery failure,email campaigns not delivered to gmail users due to spf record misconfiguration,email campaign delivery failure email campaigns not delivered to gmail users due to spf record misconfiguration,campaign delivery failure,campaign deliver gmail spf misconfiguration,campaign delivery failure campaign deliver gmail spf misconfiguration,4,12,16
